vendor_id,chain_id,city_name,specialisation,successful_orders,fail_orders,reorders
9289,5476,Брянск,Суши,90.0,2.0,0.0
22683,15513,Брянск,Суши,73.0,1.0,4.0
13554,8298,Брянск,Пицца,279.0,5.0,7.0
22678,15513,Брянск,Суши,154.0,6.0,3.0
10128,6032,Владивосток,Суши,140.0,3.0,1.0
37698,27620,Владивосток,Суши,37.0,1.0,0.0
37571,27527,Владивосток,Пицца,2.0,0.0,0.0
29317,20968,Владивосток,Пицца,107.0,1.0,0.0
37685,27608,Владивосток,Суши,11.0,0.0,0.0
15481,8517,Владивосток,Шашлыки,33.0,0.0,0.0
36771,27085,Владивосток,Суши,5.0,0.0,0.0
30017,21560,Владивосток,Десерты,4.0,4.0,1.0
37330,27363,Владивосток,Пицца,1.0,0.0,0.0
13701,8414,Владивосток,Пицца,83.0,2.0,0.0
28860,20557,Владивосток,Суши,159.0,4.0,3.0
37411,27414,Владивосток,Пироги,0.0,1.0,2.0
36005,26571,Владивосток,Суши,29.0,0.0,0.0
30941,22314,Владивосток,Грузинская,17.0,2.0,0.0
37759,27669,Владимир,Суши,19.0,0.0,0.0
37019,16672,Владимир,Рыба,51.0,0.0,1.0
36715,27039,Владимир,Бургеры,3.0,0.0,0.0
25080,16672,Владимир,Рыба,19.0,1.0,0.0
36954,27182,Владимир,Бургеры,32.0,1.0,0.0
35975,26549,Владимир,Пицца,43.0,0.0,2.0
37338,27369,Владимир,Суши,21.0,7.0,7.0
12575,7632,Владимир,Пицца,182.0,1.0,0.0
9214,5429,Владимир,Японская,105.0,7.0,3.0
18107,11619,Владимир,Суши,28.0,4.0,3.0
36656,27004,Владимир,Паназиатская,38.0,1.0,0.0
37292,27345,Владимир,Бургеры,52.0,2.0,1.0
37072,16672,Владимир,Рыба,20.0,0.0,0.0
19646,12886,Владимир,Бургеры,108.0,3.0,2.0
35979,26415,Волгоград,Пицца,156.0,1.0,0.0
7619,4286,Волгоград,Суши,207.0,2.0,3.0
25033,17507,Волгоград,Суши,10.0,2.0,1.0
37161,27276,Волгоград,Суши,44.0,2.0,1.0
35326,26143,Волгоград,Пицца,92.0,2.0,1.0
24121,16012,Волгоград,Пицца,445.0,24.0,25.0
36178,26676,Волгоград,Русская,7.0,0.0,2.0
36313,26784,Волгоград,Русская,7.0,0.0,0.0
37364,27391,Волгоград,Суши,258.0,3.0,5.0
33456,4286,Волгоград,Суши,226.0,4.0,2.0
35677,26353,Волгоград,Суши,53.0,1.0,2.0
27881,19839,Волгоград,Корейская,9.0,1.0,0.0
37163,27276,Волгоград,Суши,80.0,1.0,0.0
1847,872,Волгоград,Пицца,0.0,0.0,0.0
36629,26982,Волжский,Суши,18.0,1.0,2.0
37295,27347,Волжский,Суши,42.0,0.0,0.0
30830,22213,Волжский,Пицца,212.0,9.0,15.0
36638,26989,Волжский,Суши,227.0,1.0,0.0
30746,22149,Волжский,Суши,441.0,6.0,4.0
28738,19895,Волжский,Суши,89.0,1.0,1.0
27962,19895,Волжский,Суши,135.0,1.0,1.0
29208,20870,Волжский,Пицца,17.0,0.0,0.0
30724,22131,Волжский,Пицца,263.0,4.0,5.0
37294,27347,Волжский,Суши,95.0,0.0,1.0
35769,26401,Волжский,Суши,80.0,1.0,0.0
36245,26727,Волжский,Пицца,80.0,0.0,3.0
30745,22149,Волжский,Суши,369.0,4.0,7.0
30723,22130,Волжский,Суши,34.0,1.0,3.0
37526,27498,Вологда,Бургеры,4.0,0.0,0.0
37527,27498,Вологда,Бургеры,7.0,0.0,2.0
37535,27506,Вологда,Суши,23.0,0.0,0.0
28134,17947,Воронеж,Суши,16.0,1.0,7.0
37139,27259,Воронеж,Пицца,36.0,1.0,0.0
28516,20302,Воронеж,Суши,98.0,5.0,2.0
23646,16308,Воронеж,Пицца,25.0,0.0,1.0
23639,16308,Воронеж,Пицца,4.0,1.0,0.0
26741,16555,Воронеж,Суши,1.0,0.0,0.0
37635,11415,Воронеж,Пицца,32.0,8.0,0.0
37502,27482,Воронеж,Шаурма,3.0,0.0,0.0
36991,27197,Воронеж,Суши,6.0,2.0,0.0
36998,27197,Воронеж,Суши,8.0,0.0,0.0
12681,7728,Воронеж,Супы,252.0,1.0,1.0
23684,16305,Воронеж,Японская,4.0,0.0,0.0
20479,13617,Воронеж,Суши,45.0,0.0,1.0
7354,1313,Воронеж,Пицца,546.0,4.0,6.0
37248,27318,Егорьевск,Бургеры,10.0,1.0,1.0
36793,19998,Егорьевск,Суши,1.0,0.0,0.0
35686,25352,Егорьевск,Суши,1.0,0.0,0.0
30787,16107,Екатеринбург,Бургеры,140.0,7.0,8.0
31163,20996,Екатеринбург,Рыба,0.0,0.0,0.0
31406,22696,Екатеринбург,Шаурма,5.0,0.0,0.0
22611,15460,Екатеринбург,Пицца,55.0,2.0,1.0
19951,13155,Екатеринбург,Пироги,5.0,1.0,0.0
21630,14597,Екатеринбург,Русская,5.0,0.0,0.0
33131,24205,Екатеринбург,Шашлыки,4.0,0.0,0.0
33976,14915,Екатеринбург,Суши,327.0,46.0,65.0
31729,22964,Екатеринбург,Китайская,12.0,0.0,0.0
7141,4035,Екатеринбург,Суши,930.0,13.0,12.0
21390,14296,Екатеринбург,Суши,1.0,0.0,0.0
8318,4764,Екатеринбург,Итальянская,112.0,0.0,0.0
35468,26225,Екатеринбург,Хот-доги,4.0,0.0,1.0
11511,6858,Екатеринбург,Суши,37.0,1.0,1.0
37443,27438,Иваново,Суши,14.0,0.0,0.0
37604,27553,Иваново,Пицца,14.0,1.0,2.0
37177,27287,Иваново,Бургеры,34.0,1.0,2.0
37622,27565,Иваново,Пицца,7.0,0.0,0.0
37898,27774,Иваново,Суши,0.0,0.0,0.0
37178,27287,Иваново,Бургеры,1.0,1.0,0.0
37641,27570,Иваново,Суши,14.0,1.0,0.0
37449,27444,Иваново,Суши,16.0,0.0,1.0
37451,27446,Иваново,Суши,42.0,0.0,1.0
37439,27435,Иваново,Пицца,18.0,0.0,2.0
29384,21022,Ижевск,Суши,30.0,1.0,2.0
8687,5071,Ижевск,Японская,297.0,1.0,0.0
30969,22340,Ижевск,Суши,54.0,1.0,0.0
31770,23003,Ижевск,Суши,2.0,0.0,0.0
36614,26972,Ижевск,Пицца,82.0,1.0,0.0
37796,27701,Ижевск,Мясо,9.0,0.0,0.0
36645,26994,Ижевск,Суши,6.0,4.0,3.0
36115,26638,Ижевск,Пироги,8.0,0.0,0.0
29364,21004,Ижевск,Паста и ризотто,66.0,3.0,2.0
37121,27245,Ижевск,Суши,158.0,3.0,1.0
9328,5431,Ижевск,Бургеры,49.0,1.0,0.0
28461,20262,Ижевск,Десерты,13.0,0.0,1.0
21075,14122,Ижевск,Суши,339.0,2.0,1.0
21345,14324,Ижевск,Рыба,307.0,2.0,3.0
25316,16685,Иркутск,Суши,90.0,1.0,1.0
20741,13834,Иркутск,Паста и ризотто,44.0,1.0,0.0
35741,26379,Иркутск,Суши,4.0,0.0,0.0
12461,7534,Иркутск,Мексиканская,33.0,1.0,0.0
24078,16685,Иркутск,Суши,109.0,3.0,1.0
29928,20013,Иркутск,Суши,54.0,1.0,0.0
8557,4956,Иркутск,Суши,697.0,8.0,17.0
26672,18834,Иркутск,Пицца,10.0,0.0,0.0
12678,7725,Иркутск,Бургеры,37.0,0.0,0.0
32198,23383,Иркутск,Суши,50.0,3.0,1.0
28144,20013,Иркутск,Суши,60.0,1.0,2.0
28387,20196,Иркутск,Суши,111.0,1.0,0.0
24672,17202,Иркутск,Шашлыки,12.0,0.0,0.0
35724,26370,Иркутск,Суши,2.0,0.0,0.0
37175,27286,Йошкар-Ола,Бургеры,24.0,1.0,0.0
37448,27443,Йошкар-Ола,Суши,30.0,0.0,0.0
37176,27286,Йошкар-Ола,Бургеры,5.0,0.0,0.0
6198,3532,Казань,Китайская,190.0,5.0,4.0
3216,1705,Казань,Рыба,315.0,4.0,6.0
34161,25109,Казань,Суши,13.0,0.0,1.0
9898,5881,Казань,Рыба,1.0,0.0,0.0
37734,22377,Казань,Бургеры,15.0,0.0,0.0
5891,3350,Казань,Бургеры,21.0,6.0,2.0
35387,26188,Казань,Выпечка,6.0,0.0,0.0
35632,26328,Казань,Суши,4.0,1.0,1.0
16227,10253,Казань,Суши,330.0,1.0,0.0
14001,1641,Казань,Суши,34.0,0.0,0.0
35633,26329,Казань,Суши,436.0,2.0,1.0
27045,19147,Казань,Пицца,7.0,0.0,0.0
27115,19213,Казань,Выпечка,11.0,2.0,1.0
22652,15483,Казань,Рыба,302.0,3.0,0.0
23012,15814,Калининград,Суши,182.0,1.0,1.0
13091,8030,Калининград,Суши,35.0,5.0,1.0
12663,7711,Калининград,Пицца,157.0,2.0,0.0
15759,9980,Калининград,Пицца,63.0,2.0,2.0
37434,27432,Калининград,Суши,7.0,0.0,0.0
37435,27432,Калининград,Суши,3.0,0.0,0.0
25545,17924,Калининград,Суши,21.0,1.0,1.0
36836,27126,Калининград,Китайская,47.0,1.0,0.0
37644,27573,Калининград,Суши,12.0,0.0,0.0
37433,27432,Калининград,Суши,8.0,0.0,3.0
37772,27679,Калининград,Пицца,7.0,1.0,0.0
37696,27618,Калининград,Русская,3.0,0.0,0.0
27197,19289,Калининград,Рыба,26.0,0.0,0.0
28607,20377,Калининград,Пицца,172.0,6.0,2.0
8442,4860,Калуга,Пицца,352.0,5.0,6.0
36612,26970,Калуга,Пицца,20.0,1.0,0.0
26402,17884,Калуга,Пицца,16.0,3.0,2.0
33354,24409,Калуга,Пицца,200.0,4.0,1.0
32821,17884,Калуга,Пицца,4.0,0.0,1.0
10727,6469,Калуга,Шашлыки,48.0,1.0,2.0
32823,17829,Калуга,Суши,18.0,2.0,0.0
18644,12019,Калуга,Русская,11.0,0.0,0.0
25443,17829,Калуга,Суши,65.0,3.0,5.0
30067,21583,Калуга,Рыба,40.0,0.0,1.0
8721,5100,Калуга,Суши,15.0,0.0,1.0
17525,11187,Калуга,Пироги,3.0,2.0,1.0
8478,4890,Калуга,Пицца,144.0,2.0,2.0
12983,7970,Калуга,Пицца,338.0,4.0,4.0
30366,21812,Кемерово,Десерты,22.0,0.0,0.0
15308,9624,Кемерово,Суши,330.0,4.0,2.0
37469,27460,Кемерово,Шашлыки,3.0,0.0,0.0
36725,27049,Кемерово,Суши,20.0,0.0,0.0
16414,10405,Кемерово,Японская,143.0,1.0,0.0
37278,27336,Кемерово,Суши,57.0,1.0,3.0
37758,27668,Кемерово,Суши,26.0,0.0,0.0
27848,19814,Кемерово,Суши,91.0,1.0,3.0
35811,26431,Кемерово,Пицца,65.0,3.0,4.0
36101,26631,Кемерово,Пицца,117.0,0.0,1.0
27843,19814,Кемерово,Суши,72.0,0.0,3.0
36222,26707,Кемерово,Узбекская,25.0,0.0,1.0
27598,19605,Кемерово,Бургеры,19.0,0.0,0.0
12493,7564,Кемерово,Русская,9.0,0.0,0.0
30820,22205,Кострома,Суши,44.0,4.0,1.0
30826,22209,Кострома,Пицца,34.0,2.0,1.0
30823,22205,Кострома,Суши,40.0,0.0,0.0
37810,27709,Кострома,Суши,0.0,0.0,0.0
37582,27536,Кострома,Японская,13.0,0.0,0.0
37813,27709,Кострома,Суши,0.0,0.0,0.0
36358,26812,Кострома,Суши,49.0,2.0,3.0
35862,26466,Кострома,Суши,19.0,1.0,0.0
30825,22209,Кострома,Пицца,49.0,4.0,2.0
37812,27709,Кострома,Суши,1.0,0.0,0.0
33945,24903,Кострома,Пицца,18.0,1.0,0.0
35864,26466,Кострома,Суши,13.0,1.0,0.0
33058,24086,Кострома,Пицца,43.0,1.0,1.0
36154,26660,Кострома,Суши,49.0,2.0,0.0
35817,26436,Краснодар,Пицца,4.0,0.0,2.0
32030,8579,Краснодар,Суши,158.0,6.0,5.0
37329,27362,Краснодар,Суши,31.0,1.0,1.0
7812,4419,Краснодар,Японская,192.0,3.0,3.0
6520,3688,Краснодар,Суши,1300.0,70.0,65.0
36811,27112,Краснодар,Шашлыки,18.0,4.0,8.0
25272,17679,Краснодар,Мясо,29.0,2.0,2.0
36084,26619,Краснодар,Пицца,0.0,0.0,2.0
35830,26449,Краснодар,Суши,0.0,0.0,1.0
22933,15740,Краснодар,Гирос,682.0,9.0,3.0
37649,27578,Краснодар,Шашлыки,0.0,2.0,1.0
15107,9507,Краснодар,Пицца,28.0,1.0,1.0
14518,9057,Краснодар,Выпечка,20.0,0.0,0.0
36070,17784,Краснодар,Пицца,106.0,1.0,0.0
31407,22697,Красноярск,Суши,135.0,1.0,1.0
26168,17919,Красноярск,Индийская,1.0,0.0,0.0
16376,10368,Красноярск,Рыба,105.0,4.0,1.0
29200,20863,Красноярск,Пицца,16.0,0.0,0.0
17448,11112,Красноярск,Шашлыки,130.0,1.0,3.0
27852,19815,Красноярск,Суши,76.0,2.0,1.0
26136,17659,Красноярск,Сэндвичи,0.0,0.0,1.0
25792,18148,Красноярск,Суши,211.0,4.0,1.0
26179,17919,Красноярск,Индийская,0.0,1.0,0.0
31411,22697,Красноярск,Суши,73.0,3.0,0.0
35555,26282,Красноярск,Мясо,7.0,0.0,1.0
31413,22697,Красноярск,Суши,45.0,1.0,1.0
26166,17919,Красноярск,Индийская,0.0,2.0,0.0
27844,19815,Красноярск,Суши,86.0,11.0,3.0
34861,25750,Курск,Суши,400.0,2.0,0.0
30356,21804,Курск,Суши,70.0,0.0,0.0
31262,16620,Курск,Пицца,202.0,6.0,7.0
37107,27237,Курск,Бургеры,77.0,0.0,0.0
36519,26909,Курск,Суши,24.0,0.0,2.0
22903,15712,Курск,Рыба,118.0,1.0,3.0
24130,16620,Курск,Пицца,270.0,8.0,10.0
37217,27237,Курск,Бургеры,67.0,1.0,0.0
35781,26408,Курск,Суши,259.0,2.0,1.0
36969,27187,Курск,Суши,332.0,5.0,5.0
26509,18695,Курск,Суши,416.0,3.0,4.0
24335,16917,Курск,Шашлыки,18.0,0.0,0.0
33618,24638,Курск,Пицца,328.0,5.0,1.0
23175,15922,Курск,Пицца,152.0,1.0,4.0
32010,23216,Липецк,Суши,56.0,2.0,0.0
25867,4858,Липецк,Пицца,263.0,4.0,0.0
29461,21085,Липецк,Суши,24.0,2.0,1.0
36717,27041,Липецк,Пицца,126.0,5.0,2.0
26211,17179,Липецк,Пицца,39.0,0.0,0.0
9279,5472,Липецк,Суши,177.0,1.0,3.0
9282,5472,Липецк,Суши,322.0,4.0,8.0
9274,5472,Липецк,Суши,85.0,2.0,3.0
37606,27554,Липецк,Суши,30.0,2.0,0.0
25775,18136,Липецк,Пицца,185.0,0.0,0.0
28050,19963,Липецк,Пицца,12.0,1.0,0.0
37529,27500,Липецк,Шашлыки,11.0,0.0,0.0
9281,5472,Липецк,Суши,343.0,5.0,4.0
9278,5472,Липецк,Суши,224.0,2.0,0.0
37148,27266,Магнитогорск,Суши,41.0,0.0,0.0
30188,21681,Магнитогорск,Бургеры,7.0,0.0,1.0
30187,21680,Магнитогорск,Рыба,1.0,0.0,2.0
37095,27233,Магнитогорск,Бургеры,8.0,1.0,0.0
36534,26921,Магнитогорск,Бургеры,19.0,5.0,2.0
30189,21682,Магнитогорск,Пицца,18.0,0.0,0.0
30185,21678,Магнитогорск,Суши,121.0,5.0,0.0
37892,27769,Магнитогорск,Суши,0.0,0.0,0.0
26088,18393,Москва,Грузинская,9.0,3.0,0.0
37262,23443,Москва,Суши,51.0,3.0,0.0
25618,17988,Москва,Сэндвичи,199.0,3.0,5.0
36466,26871,Москва,Суши,109.0,6.0,1.0
22752,15577,Москва,Фастфуд,2.0,0.0,0.0
31520,22785,Москва,Рыба,2.0,1.0,0.0
36429,14479,Москва,Пицца,0.0,0.0,1.0
24158,16750,Москва,Мясо,13.0,1.0,0.0
25479,1994,Москва,Пицца,841.0,8.0,2.0
36465,26871,Москва,Суши,355.0,2.0,2.0
10983,1929,Москва,Японская,93.0,3.0,4.0
21268,14288,Москва,Итальянская,3.0,0.0,0.0
32903,24000,Москва,Суши,14.0,0.0,0.0
37583,27537,Москва,Пицца,11.0,0.0,0.0
36880,27152,Набережные Челны,Бургеры,35.0,0.0,0.0
33338,24393,Набережные Челны,Шашлыки,4.0,0.0,0.0
27462,19500,Набережные Челны,Суши,111.0,3.0,3.0
27860,19827,Набережные Челны,Мясо,22.0,0.0,0.0
36881,27152,Набережные Челны,Бургеры,49.0,0.0,0.0
36513,26904,Набережные Челны,Шашлыки,15.0,0.0,0.0
37246,27317,Набережные Челны,Суши,254.0,5.0,3.0
37640,27569,Набережные Челны,Шашлыки,12.0,0.0,0.0
36647,26996,Набережные Челны,Пицца,97.0,6.0,2.0
36568,26940,Набережные Челны,Пицца,136.0,2.0,2.0
27184,19276,Набережные Челны,Пицца,124.0,1.0,1.0
37359,27386,Набережные Челны,Китайская,35.0,1.0,0.0
37142,27261,Набережные Челны,Китайская,20.0,1.0,0.0
27071,19172,Набережные Челны,Суши,66.0,0.0,2.0
26564,18739,Нижневартовск,Суши,55.0,2.0,3.0
30377,21822,Нижневартовск,Суши,95.0,1.0,1.0
22950,15753,Нижневартовск,Суши,55.0,12.0,18.0
37211,27306,Нижневартовск,Бургеры,65.0,12.0,2.0
23216,15955,Нижневартовск,Японская,102.0,0.0,0.0
37210,27306,Нижневартовск,Бургеры,103.0,3.0,3.0
35910,26498,Нижневартовск,Шаурма,0.0,0.0,2.0
31186,22508,Нижневартовск,Японская,161.0,1.0,2.0
36830,27123,Нижневартовск,Суши,100.0,0.0,0.0
24041,16653,Нижневартовск,Суши,128.0,1.0,0.0
24363,16935,Нижневартовск,Суши,33.0,1.0,1.0
31352,22647,Нижневартовск,Суши,35.0,2.0,0.0
37809,27708,Нижневартовск,Суши,0.0,2.0,0.0
37474,27464,Нижневартовск,Суши,92.0,0.0,0.0
22318,15193,Нижний Новгород,Пицца,28.0,1.0,0.0
35881,26476,Нижний Новгород,Шашлыки,24.0,0.0,0.0
23807,16444,Нижний Новгород,Суши,151.0,1.0,3.0
22211,15120,Нижний Новгород,Суши,79.0,29.0,20.0
11583,6639,Нижний Новгород,Пицца,20.0,0.0,0.0
3850,2146,Нижний Новгород,Шашлыки,64.0,2.0,1.0
25300,17704,Нижний Новгород,Пицца,42.0,0.0,0.0
37667,27592,Нижний Новгород,Русская,5.0,0.0,0.0
28312,20140,Нижний Новгород,Шашлыки,3.0,0.0,0.0
11820,5449,Нижний Новгород,Суши,52.0,6.0,0.0
22651,15488,Нижний Новгород,Грузинская,31.0,0.0,1.0
36416,26065,Нижний Новгород,Суши,7.0,0.0,0.0
36860,27138,Нижний Новгород,Шашлыки,90.0,0.0,1.0
15856,10030,Нижний Новгород,Пицца,85.0,9.0,18.0
13443,8230,Новокузнецк,Суши,21.0,1.0,0.0
36226,26710,Новокузнецк,Суши,52.0,3.0,1.0
36315,26786,Новокузнецк,Шашлыки,38.0,5.0,2.0
35568,26204,Новокузнецк,Суши,31.0,2.0,6.0
35855,26463,Новокузнецк,Суши,104.0,4.0,2.0
27837,19809,Новосибирск,Суши,116.0,1.0,0.0
13371,8170,Новосибирск,Пицца,173.0,1.0,1.0
3862,2158,Новосибирск,Супы,244.0,4.0,2.0
36886,27156,Новосибирск,Мясо,33.0,1.0,1.0
37431,27430,Новосибирск,Суши,28.0,1.0,1.0
34150,25099,Новосибирск,Пицца,351.0,5.0,11.0
37580,27534,Новосибирск,Пицца,0.0,1.0,0.0
36418,26855,Новосибирск,Пицца,72.0,1.0,0.0
37843,27733,Новосибирск,Русская,0.0,0.0,0.0
37245,27316,Новосибирск,Суши,87.0,2.0,1.0
21954,14884,Новосибирск,Китайская,355.0,2.0,4.0
37001,27200,Новосибирск,Суши,32.0,0.0,0.0
29001,20669,Новосибирск,Рыба,50.0,0.0,1.0
27835,19809,Новосибирск,Суши,233.0,12.0,5.0
12451,7524,Омск,Пицца,29.0,0.0,3.0
7140,4034,Омск,Суши,150.0,8.0,2.0
9631,5694,Омск,Суши,1.0,0.0,0.0
9578,5685,Омск,Бургеры,80.0,5.0,2.0
32802,23919,Омск,Суши,306.0,2.0,1.0
37806,27705,Омск,Пироги,1.0,0.0,0.0
27854,19821,Омск,Суши,115.0,6.0,4.0
36167,26667,Омск,Суши,1.0,0.0,1.0
37632,27568,Омск,Грузинская,3.0,0.0,0.0
36589,26955,Омск,Суши,20.0,1.0,0.0
35558,26284,Омск,Пицца,2.0,1.0,0.0
36817,27115,Омск,Суши,127.0,1.0,0.0
25655,18025,Омск,Пироги,6.0,1.0,1.0
9642,5699,Омск,Бургеры,1.0,0.0,0.0
9292,5477,Орел,Суши,251.0,7.0,12.0
36225,26709,Орел,Суши,321.0,2.0,4.0
30204,21697,Орел,Мясо,173.0,3.0,1.0
26231,18490,Орел,Японская,119.0,1.0,3.0
24126,16404,Орел,Пицца,482.0,33.0,27.0
12660,7708,Орел,Шашлыки,42.0,1.0,0.0
16157,10200,Орел,Бургеры,506.0,25.0,31.0
25594,17965,Орел,Суши,18.0,10.0,3.0
21771,14732,Орел,Шашлыки,323.0,3.0,3.0
30956,22329,Орел,Русская,31.0,0.0,1.0
37190,27299,Орел,Бургеры,57.0,3.0,1.0
22637,15475,Орел,Пицца,389.0,3.0,4.0
29442,21071,Орел,Бургеры,186.0,0.0,0.0
11998,5477,Орел,Суши,235.0,10.0,7.0
25543,17922,Оренбург,Пицца,40.0,1.0,0.0
34289,25216,Оренбург,Пицца,40.0,1.0,0.0
35010,25887,Оренбург,Суши,4.0,0.0,1.0
12415,7498,Оренбург,Суши,58.0,2.0,0.0
16453,10437,Оренбург,Суши,82.0,1.0,2.0
12411,7495,Оренбург,Суши,1401.0,14.0,6.0
13223,8115,Оренбург,Японская,331.0,1.0,6.0
12414,7498,Оренбург,Суши,736.0,17.0,0.0
36578,18978,Оренбург,Пицца,247.0,1.0,0.0
12465,7536,Оренбург,Сэндвичи,110.0,2.0,1.0
36580,18978,Оренбург,Пицца,148.0,2.0,1.0
37531,27502,Оренбург,Хот-доги,5.0,3.0,3.0
12418,7498,Оренбург,Суши,29.0,0.0,0.0
20950,14020,Оренбург,Индийская,0.0,5.0,0.0
35650,26340,Пенза,Пицца,83.0,2.0,1.0
35775,26403,Пенза,Суши,292.0,1.0,0.0
22313,15192,Пенза,Суши,95.0,17.0,22.0
25282,17689,Пенза,Рыба,77.0,0.0,1.0
22305,15192,Пенза,Суши,62.0,15.0,7.0
35440,26212,Пенза,Суши,72.0,4.0,9.0
18179,11689,Пенза,Русская,12.0,0.0,0.0
34889,25777,Пенза,Суши,196.0,0.0,0.0
28100,19999,Пенза,Пицца,406.0,4.0,4.0
36130,26647,Пенза,Суши,136.0,5.0,6.0
22220,15121,Пенза,Пицца,15.0,1.0,1.0
34892,25777,Пенза,Суши,4.0,0.0,0.0
37282,27340,Пенза,Суши,106.0,1.0,2.0
16158,10201,Пенза,Суши,173.0,2.0,1.0
35207,26033,Пермь,Японская,159.0,8.0,2.0
24065,16674,Пермь,Пицца,25.0,0.0,0.0
28458,20259,Пермь,Шашлыки,30.0,1.0,3.0
5403,2904,Пермь,Пицца,70.0,3.0,3.0
32449,23620,Пермь,Русская,21.0,0.0,0.0
35754,26391,Пермь,Бургеры,4.0,2.0,0.0
36221,26706,Пермь,Суши,2.0,0.0,0.0
23367,15644,Пермь,Пицца,100.0,0.0,1.0
37301,27352,Пермь,Шаурма,48.0,0.0,1.0
37565,26582,Пермь,Пироги,14.0,0.0,1.0
37615,27562,Пермь,Суши,27.0,1.0,0.0
18086,11600,Пермь,Суши,341.0,12.0,5.0
31288,10514,Пермь,Бургеры,300.0,5.0,3.0
36518,26908,Пермь,Суши,135.0,4.0,1.0
28812,20511,Петрозаводск,Пицца,80.0,3.0,1.0
33306,24371,Петрозаводск,Суши,100.0,1.0,0.0
37926,27791,Петрозаводск,Пицца,0.0,0.0,0.0
34128,25078,Петрозаводск,Пицца,74.0,0.0,0.0
28794,20500,Петрозаводск,Суши,205.0,4.0,3.0
28801,20506,Петрозаводск,Японская,87.0,1.0,1.0
37687,27610,Петрозаводск,Суши,20.0,1.0,1.0
23480,16180,Ростов-на-Дону,Бургеры,30.0,0.0,1.0
35196,16180,Ростов-на-Дону,Бургеры,14.0,0.0,1.0
35827,26446,Ростов-на-Дону,Пицца,155.0,0.0,1.0
16355,10347,Ростов-на-Дону,Пицца,341.0,7.0,11.0
36122,26643,Ростов-на-Дону,Суши,485.0,4.0,3.0
37865,26643,Ростов-на-Дону,Суши,82.0,0.0,2.0
